Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U54,SLSS49E-3,SLSS49E_MX_1U,147.6375,-38.12,0.0,bottom
U55,SLSS49E-3,SLSS49E_MX_1U,138.1125,-57.17,0.0,bottom
U56,74HC4051,SSOP-16_4.4x5.2mm_P0.65mm,195.2625,-30.360938,180.0,bottom
U57,SLSS49E-3,SLSS49E_MX_2.75U,250.03125,-57.76995,0.0,bottom
U58,SLSS49E-3,SLSS49E_MX_1U,152.4,-0.02,0.0,bottom
U59,SLSS49E-3,SLSS49E_MX_1U,161.925,-19.07,0.0,bottom
U6,SLSS49E-3,SLSS49E_MX_1.5U_Rotate,52.3875,-76.2,0.0,bottom
U60,SLSS49E-3,SLSS49E_MX_1U,166.6875,-38.12,0.0,bottom
U61,SLSS49E-3,SLSS49E_MX_1U,157.1625,-57.17,0.0,bottom
U62,74HC4051,SSOP-16_4.4x5.2mm_P0.65mm,228.6,-30.360938,180.0,bottom
U63,AMS1117-3.3,SOT-223-3_TabPin2,57.15,-11.084344,180.0,bottom
U64,SLSS49E-3,SLSS49E_MX_1U,171.45,-0.02,0.0,bottom
U65,SLSS49E-3,SLSS49E_MX_1U,180.975,-19.07,0.0,bottom
U66,SLSS49E-3,SLSS49E_MX_1U,185.7375,-38.12,0.0,bottom
U67,SLSS49E-3,SLSS49E_MX_1U,176.2125,-57.17,0.0,bottom
U68,SLSS49E-3,SLSS49E_MX_1.5U_Rotate,261.9375,-76.2,0.0,bottom
U69,74HC4051,SSOP-16_4.4x5.2mm_P0.65mm,228.6,-49.510938,180.0,bottom
U7,SLSS49E-3,SLSS49E_MX_7U-ReversedStabilizers,133.35,-75.33005,0.0,bottom
U70,SLSS49E-3,SLSS49E_MX_1U,190.5,-0.02,0.0,bottom
U71,SLSS49E-3,SLSS49E_MX_1U,200.025,-19.07,0.0,bottom
U72,SLSS49E-3,SLSS49E_MX_1U,204.7875,-38.12,0.0,bottom
U73,SLSS49E-3,SLSS49E_MX_1U,195.2625,-57.17,0.0,bottom
U74,SLSS49E-3,SLSS49E_MX_1.25U_Rotate,264.31875,-76.2,0.0,bottom
U75,SLSS49E-3,SLSS49E_MX_1.25U,2.38125,-57.17,0.0,bottom
U76,SLSS49E-3,SLSS49E_MX_1U,209.55,-0.02,0.0,bottom
U77,SLSS49E-3,SLSS49E_MX_1U,219.075,-19.07,0.0,bottom
U78,SLSS49E-3,SLSS49E_MX_1U,223.8375,-38.12,0.0,bottom
U79,SLSS49E-3,SLSS49E_MX_1U,214.3125,-57.17,0.0,bottom
U8,SLSS49E-3,SLSS49E_MX_1.5U_Rotate,214.3125,-76.2,0.0,bottom
U80,SLSS49E-3,SLSS49E_MX_1U,23.8125,-57.17,0.0,bottom
U82,SLSS49E-3,SLSS49E_MX_1U,228.6,-0.02,0.0,bottom
U83,SLSS49E-3,SLSS49E_MX_1U,238.125,-19.07,0.0,bottom
U84,SLSS49E-3,SLSS49E_MX_2.25U-ReversedStabilizers,254.79375,-37.23005,0.0,bottom
U85,TPS63001,Texas_DRC0010J_ThermalVias,4.7625,-13.096875,270.0,bottom
U88,SLSS49E-3,SLSS49E_MX_1U,247.65,-0.02,0.0,bottom
U89,SLSS49E-3,SLSS49E_MX_1.5U,261.9375,-19.07,0.0,bottom
U91,SLSS49E-3,SLSS49E_MX_1.75U,240.50625,-57.17,0.0,bottom
U94,SLSS49E-3,SLSS49E_MX_1U,266.7,-0.02,0.0,bottom
U97,SLSS49E-3,SLSS49E_MX_1U,266.7,-57.17,0.0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,9.05,5.071,180.0,bottom
Y1,12Mhz (15p),Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,25.048951,-34.751714,315.0,bottom
